Month,Day,Hour,RH,Temperature_C,Temperature_F,Date
3,11,16,37.2948430322177,27.307431143663695,81.15337605859466,2019-03-11 16:00:00
3,11,17,35.566518627046996,28.23955392792655,82.8311970702678,2019-03-11 17:00:00
3,11,18,38.17213240509359,26.34809442925235,79.42656997265425,2019-03-11 18:00:00
3,11,19,37.06667887611983,25.891889829861906,78.60540169375143,2019-03-11 19:00:00
3,11,20,35.63163571061561,25.255906513059184,77.46063172350654,2019-03-11 20:00:00
3,11,21,35.56791762688928,25.221637293049522,77.39894712748914,2019-03-11 21:00:00
3,11,22,35.72422406381475,24.937469799852504,76.88744563973451,2019-03-11 22:00:00
3,11,23,35.647024708880856,24.691577019913023,76.44483863584345,2019-03-11 23:00:00
3,12,0,36.82714466675824,24.76456600798556,76.57621881437402,2019-03-12 00:00:00
3,12,1,42.33780504555653,25.446389969736277,77.8035019455253,2019-03-12 01:00:00
3,16,4,44.29665918837661,25.395742732890824,77.7123369192035,2019-03-16 04:00:00
3,16,5,43.675757622005506,25.205170265252672,77.3693064774548,2019-03-16 05:00:00
3,16,6,43.23176594478275,25.01090384273036,77.01962691691465,2019-03-16 06:00:00
3,16,7,43.01822769612706,24.88851377126727,76.79932478828108,2019-03-16 07:00:00
3,16,8,42.860267895751626,24.739420411484968,76.53095674067295,2019-03-16 08:00:00
3,16,9,42.58021356368502,24.500425981027945,76.10076676585031,2019-03-16 09:00:00
3,16,10,42.08331425606275,24.32485186032908,75.78473334859234,2019-03-16 10:00:00
3,16,11,41.81648683159603,24.115008519620556,75.407015335317,2019-03-16 11:00:00
3,16,12,44.981406020277866,24.192893110551612,75.5472075989929,2019-03-16 12:00:00
3,16,13,45.400215700339324,24.100099183642325,75.3801785305562,2019-03-16 13:00:00
3,16,14,43.28836184749375,23.690426235344983,74.64276722362096,2019-03-16 14:00:00
3,16,15,42.24000223839975,23.264286259250785,73.87571526665141,2019-03-16 15:00:00
3,16,16,41.360285701204155,23.027294575417713,73.44913023575187,2019-03-16 16:00:00
3,16,17,40.549120156281006,23.00815721878894,73.41468299382011,2019-03-16 17:00:00
3,16,18,40.28432764067579,22.90935505200784,73.23683909361411,2019-03-16 18:00:00
3,16,19,39.90837822851009,23.00815721878894,73.4146829938201,2019-03-16 19:00:00
3,16,20,39.680214072412234,23.099170926476944,73.57850766765851,2019-03-16 20:00:00
3,16,21,39.491603457310156,23.223341217161316,73.80201419089038,2019-03-16 21:00:00
3,16,22,39.61191744374749,23.18751430533303,73.73752574959946,2019-03-16 22:00:00
3,16,23,39.5602931933686,23.182234336960818,73.72802180652947,2019-03-16 23:00:00
3,17,0,39.33275338430781,23.151464866102085,73.67263675898376,2019-03-17 00:00:00
3,17,1,38.72126327142123,23.257387909768322,73.86329823758297,2019-03-17 01:00:00
3,17,2,38.03003016752387,23.257610437170978,73.86369878690776,2019-03-17 02:00:00
3,17,3,37.73522274621126,23.131214872460003,73.636186770428,2019-03-17 03:00:00
3,17,4,37.50146259074421,23.040201164772004,73.47236209658962,2019-03-17 04:00:00
3,17,5,37.21186962338924,23.11741817349507,73.61135271229114,2019-03-17 05:00:00
3,17,6,37.010668009706514,23.016835787492685,73.43030441748682,2019-03-17 06:00:00
3,17,7,36.721202224155384,22.914918237074342,73.24685282673381,2019-03-17 07:00:00
3,17,8,36.567820968718365,22.725547417410542,72.90598535133897,2019-03-17 08:00:00
3,17,9,36.37603080852017,22.530168357874928,72.55430304417489,2019-03-17 09:00:00
3,17,10,36.318035905966866,22.2589074540322,72.06603341725797,2019-03-17 10:00:00
3,17,11,36.23193382476382,22.013904783703367,71.62502861066606,2019-03-17 11:00:00
3,17,12,35.896046680809285,21.871042191195546,71.36787594415198,2019-03-17 12:00:00
3,17,13,35.53141644918578,21.788484524808624,71.21927214465552,2019-03-17 13:00:00
3,17,14,35.12138231358963,21.8120724294906,71.26173037308307,2019-03-17 14:00:00
3,17,15,35.26700547899211,21.610462602680496,70.89883268482491,2019-03-17 15:00:00
3,17,16,35.965106400297095,21.222152285038522,70.19987411306936,2019-03-17 16:00:00
3,17,17,36.06596157074615,21.363902240533047,70.45502403295949,2019-03-17 17:00:00
3,17,18,36.00465994129287,21.670990056204065,71.00778210116731,2019-03-17 18:00:00
3,17,19,36.27949981940184,21.868816917168942,71.36387045090409,2019-03-17 19:00:00
3,17,20,36.22214082586776,22.292731619236545,72.12691691462578,2019-03-17 20:00:00
3,17,21,35.83601686939446,22.89867373668015,73.21761272602427,2019-03-17 21:00:00
3,17,22,35.94338143580395,23.185390180125818,73.73370232422646,2019-03-17 22:00:00
3,17,23,35.9990639419237,23.49816255944661,74.29669260700389,2019-03-17 23:00:00
3,18,0,36.20306355529102,23.689313598331683,74.64076447699702,2019-03-18 00:00:00
3,18,1,36.53284597266099,23.64569822741029,74.56225680933852,2019-03-18 01:00:00
3,18,2,36.70365113522478,23.561360341802086,74.41044861524377,2019-03-18 02:00:00
3,18,3,36.57901296745672,23.514407059840796,74.32593270771343,2019-03-18 03:00:00
3,18,4,36.34817799347812,23.456549935149155,74.22178988326849,2019-03-18 04:00:00
3,18,5,36.056295753653934,23.34484117901376,74.02071412222477,2019-03-18 05:00:00
3,18,6,35.91779476926677,23.127431906614785,73.6293774319066,2019-03-18 06:00:00
3,18,7,35.83970514170597,22.9983660130719,73.3970588235294,2019-03-18 07:00:00
3,18,8,35.62247862073877,22.892220442003005,73.2059967956054,2019-03-18 08:00:00
3,18,9,35.49885790740147,22.72576994481321,72.90638590066378,2019-03-18 09:00:00
3,18,10,35.67792988721517,22.38152005289795,72.28673609521631,2019-03-18 10:00:00
3,18,11,35.793538146910244,22.09824266931157,71.77683680476082,2019-03-18 11:00:00
3,18,12,35.37307510339881,22.11337453269246,71.80407415884643,2019-03-18 12:00:00
3,18,13,35.21117266710416,22.002555886167695,71.60460059510186,2019-03-18 13:00:00
3,18,14,35.28773611301884,21.790042216627246,71.22207598992905,2019-03-18 14:00:00
